review,translated_review,clean_text,sentiment
minuman sama makanannya enakk bgttt‼️🥰,minuman sama makanannya enakk bgttt‼️🥰,minum makan enakk banget,Positive
pelayanannya cepet,pelayanannya cepat,layan cepat,Positive
"lain kali konsumen order apa tuh denger, jadi gak miss order dan bikin konsumen harus balik ke kasir + ujan sediain bayar di table bawa mesin edc nya ke konsumen kalo kesalahan dr pendengaran waiter","lain kali konsumen order apa tuh denger, jadi gak miss order dan bikin konsumen harus balik ke kasir + ujan sediain bayar di table bawa mesin edc nya ke konsumen kalo kesalahan dr pendengaran pelayan",kali konsumen order tuh dengar miss order bikin konsumen kasir ujan ain bayar table bawa mesin edc nya konsumen kalo salah dengar layan,Negative
Coffeenya Ok. Makanannya kurang banyak 😂 Suasana cafenya nyaman banget buat nongkrong✨,Kopinya Oke. Makanannya kurang banyak 😂 Suasana cafenya nyaman banget buat nongkrong✨,kopi oke makan suasana cafenya nyaman banget nongkrong,Positive
"Pelayanannya ok makanannya ok kebersihannya juga ok, wajib yg blm datang ya....","Pelayanannya ok makanannya ok kebersihannya juga ok, wajib yg blm datang ya....",layan ok makan ok bersih ok wajib ya,Positive
good mood & good place to be👍🏻,suasana hati yang baik & tempat yang bagus untuk dikunjungi👍🏻,suasana hati bagus kunjung,Positive
Good view & food,Pemandangan & makanan yang bagus,pandang makan bagus,Positive
Nixe place &Good ambiance🩷,Tempat yang bagus & Suasana yang bagus🩷,bagus suasana bagus,Positive
servicenya baik makanannya enak pokonya is the best,servicenya baik makanannya enak pokonya the best,servicenya makan enak pokok the best,Positive
"tempatnya cozy, affordable, makanannya jg enak.","tempatnya nyaman, terjangkau, makanannya jg enak.",tempat nyaman jangkau makan enak,Positive
ngopi dengan vibes yang menyenangkan & pelayanann yang baguss dari ojan,ngopi dengan getaran yang menyenangkan & pelayanan yang bagus dari ojan,ngopi getar senang layan bagus ojan,Positive
pertama kali kesini disambut dengan hangat pelayanan yang ok banget service dari KA Ojan sangat memuaskan,pertama kali kesini disambut dengan pelayanan hangat yang ok banget pelayanan dari KA Ojan sangat memuaskan,kali kesini sambut layan hangat ok banget layan kak ojan muas,Positive
"bagus pelayanannya ka ojan, tempatnya bersih dan juga sangat estetik","pelayanannya bagus ka ojan, tempatnya bersih dan juga sangat estetis",layan bagus kak ojan tempat bersih estetis,Positive
tempat nya enak dan dingin service juga baguss,tempatnya enak dan dingin pelayanannya juga baguss,tempat enak dingin layan bagus,Positive
"Tempatnya cozy banget, makanannya enak juga dan worth it. pelayanannya ramah dan cepat, next balalan jadi tempat favorite buat dikunjungi bersama teman dan keluarga","Tempatnya nyaman banget, makanannya enak juga dan worth it. pelayanannya ramah dan cepat, next balalan jadi tempat favorit buat dikunjungi bersama teman dan keluarga",tempat nyaman banget makan enak worth layan ramah cepat next balalan favorit kunjung teman keluarga,Positive
"Tempatnya bagus banget, pelayanannya baik kakak nya ramah ramah😍","Tempatnya bagus banget, pelayanannya baik kakak nya ramah ramah😍",tempat bagus banget layan kakak nya ramah ramah,Positive
"excellent, pelayanan nya bagus sekali, so cozy here wanna go to this place again! 10/10❤️‍🔥","luar biasa, pelayanannya bagus sekali, sangat nyaman di sini ingin pergi ke tempat ini lagi! 10/10❤️‍🔥",layan bagus nyaman pergi,Positive
Perfect vibes,Getaran yang sempurna,getar sempurna,Positive
"tempatnya cozy,nyaman","tempatnya cozy,nyaman",tempat cozy nyaman,Positive
"First time kesini ternyata sesuai ekspetasi banget.makanan nya super duper enak,staf nya juga ramaah""banget.ga nyesel deh kesini,next time aku pasti balik lagi si 🤗","First time kesini ternyata sesuai ekspetasi banget.makanannya super duper enak,staf nya juga ramaah""banget.ga nyesel deh kesini,next time aku pasti balik lagi si 🤗",first time kesini sesuai ekspetasi banget makan super duper enak staf nya ramaah banget sesal deh kesini next time sih,Positive
fav sih biscofnya enak bgttt😍,fav sih biscofnya enak bgttt😍,favorit sih biscofnya enak banget,Positive
"Tempatnya adem, enak buat wfh atau nugas. Makanannya juga enak, kopi strawberrynya unik. Worth to try!","Tempatnya adem, enak buat wfh atau nugas. Makanannya juga enak, kopi strawberrynya unik. Layak untuk dicoba!",tempat adem enak wfh nugas makan enak kopi strawberrynya unik layak coba,Positive
"comfy tempatnya, green teanya jg ga trlalu manis, overall 9,5/10","tempatnya nyaman, green teanya jg ga trlalu manis, overall 9,5/10",tempat nyaman green teanya manis overall,Positive
"Tempatnya nyaman, stafnya juga ramah, masih affordable buat harganya","Tempatnya nyaman, stafnya juga ramah, masih terjangkau buat harganya",tempat nyaman staf ramah jangkau harga,Positive
"Tempat adem, minuman enak dan pelayanannya cepat. Cocok buat nongkrong atau yang mau WFC✨","Tempat adem, minuman enak dan pelayanannya cepat. Cocok buat nongkrong atau mau WFC✨",adem minum enak layan cepat cocok nongkrong wfc,Positive
"Tempatnya cozy, pelayanannya mantap","Tempatnya nyaman, pelayanannya mantap",tempat nyaman layan mantap,Positive
"Deu coffe adalah salah satu tempat ternyaman untuk saya dan keluarga menikmati hari libur/weekend. Pelayanannya juga sangat baik, dari awal datang sampai ke table kita dilayani denga sangat sangat baik, ohiya btw aku dilayani sama kak Hafid. Cuma mau bilang terimakasih atas layanan yang kalian berikan terhadap kami. Good and success!","Deu coffe adalah salah satu tempat ternyaman untuk saya dan keluarga menikmati hari libur/akhir pekan. Pelayanannya juga sangat baik, dari awal datang sampai ke meja kami dilayani denga sangat baik, ohiya btw aku dilayani sama kak Hafid. Cuma mau bilang terima kasih atas layanan yang kalian berikan kepada kami. Bagus dan sukses!",deu coffe salah nyaman keluarga nikmat libur pekan layan meja layan denga ohiya btw layan kak hafid bilang terima kasih layan bagus sukses,Positive
Kak azzam the best,Kak azzam yang terbaik,kak azzam baik,Positive
ka azzam mantap,ka azzam mantap,kak azzam mantap,Positive
Comfy!!!,Nyaman!!!,nyaman,Positive
"staffnya ramah banget, minuman sama makanannya enak, tempatnya juga comfy","staffnya ramah banget, minuman sama makanannya enak, tempatnya juga nyaman",staffnya ramah banget minum makan enak tempat nyaman,Positive
Tempat yang asik buat nongkrong dengan pemandangan yang indah,Tempat yang asyik untuk nongkrong dengan pemandangan yang indah,asyik nongkrong pandang indah,Positive
Tidak cepat tanggap menangani permintaan cust.,Tidak cepat tanggap menangani permintaan pelanggan.,cepat tanggap tangan minta langgan,Positive
tempatnya kurang ramah,tempatnya kurang ramah,tempat ramah,Positive
Minuman dan tempatnya enak dan affordable,Minuman dan tempatnya enak dan terjangkau,minum tempat enak jangkau,Positive
makanannya enak banget,Makanannya enak banget,makan enak banget,Positive
caffenya kerenn pelayananan nya baguss terutama ka azzam pelayanannya bintang ⭐️⭐️⭐️⭐️⭐️,caffenya kerenn pelayanannya baguss terutama ka azzam pelayanannya bintang ⭐️⭐️⭐️⭐️⭐️,caffenya keren layan bagus kak azzam layan bintang,Positive
"caffenya bagus,nyaman, makannanya enak enak pegawai sama baristanya juga baik baik terutama ka azzam","caffenya bagus,nyaman, makannanya enak enak pegawai sama baristanya juga baik terutama ka azzam",caffenya bagus nyaman makannanya enak enak pegawai baristanya kak azzam,Positive
kak azzam baik👍🏻,Kak azzam baik👍🏻,kak azzam,Neutral
pelayanan kak azamm baikk okee banget ramaah!! temapatnya super pw😍,pelayanan kak azamm baikk okee banget ramaah!! temapatnya super pw😍,layan kak azamm okee banget ramaah temapatnya super pw,Positive
All of barista knows a lot about coffee and can help you decide on the menu and shoutout to hafidzh for a good service,Semua barista tahu banyak tentang kopi dan dapat membantu Anda memutuskan menu dan berterima kasih kepada hafidzh atas layanan yang baik,barista kopi bantu putus menu terima kasih hafidzh layan,Positive
Awesome. - Hafidh,Keren sekali. - Hafidh,keren hafidh,Positive
"playanan nya sangat ramahh dan affordable so u don’t have to worry ya karna murah”, dilayanin kaka hafid gais say hi ya kalo ketemuu over all 10/10 ⭐️⭐️⭐️⭐️","playanannya sangat ramahh dan terjangkau jadi kamu tidak perlu khawatir ya karna murah”, dilayanin kaka hafid gais say hi ya kalo ketemuu over all 10/10 ⭐️⭐️⭐️⭐️",playanannya ramahh jangkau khawatir ya murah dilayanin kakak hafid gais sayang hi ya kalo ketemuu over all,Positive
"makanannya seems appetizingg, tempatnya cozy enak buat nongkrong, servicenya 10/10 apalagi kak hafid gemoi sekalii hihi","makanannya sepertinya menggugah selera, tempatnya nyaman enak buat nongkrong, servicenya 10/10 apalagi kak hafid gemoi sekalii hihi",makan gugah selera tempat nyaman enak nongkrong servicenya kak hafid gemoi hihi,Positive
"Nice café experience in de.u coffee! Sudah beberapa kali ke sini. Pilihan menu cukup beragam, makanannya oke, minumannya oke, dan atmosfernya bagus! Dilayani dengan baik oleh Kak Hafid, thank you!","Pengalaman kafe yang menyenangkan di kopi de.u! Sudah beberapa kali ke sini. Pilihan menu cukup beragam, makanannya oke, minumannya oke, dan suasananya bagus! Dilayani dengan baik oleh Kak Hafid, terima kasih!",alam kafe senang kopi deh lu kali pilih menu agam makan oke minum oke suasana bagus layan kak hafid terima kasih,Positive
"tempatnya mantap, bagi pemilik hewan piaraan juga eligible. bagi muslim praying roomnya proper bgt, parking lotnya luas","tempatnya mantap, bagi pemilik hewan piaraan juga memenuhi syarat. bagi mushola ruangannya layak bgt, parkirannya luas",tempat mantap milik hewan piara penuh syarat mushola ruang layak banget parkir luas,Positive
so nyaman,sangat nyaman,nyaman,Positive
Barista nya ramah banget apalagi a opik🙏,Barista nya ramah banget apalagi a opik🙏,barista nya ramah banget a opik,Positive
"tempatnya enak, comfy bgt, barista nya juga ramah apalagi a opik","tempatnya enak, nyaman bgt, barista nya juga ramah apalagi a opik",tempat enak nyaman banget barista nya ramah a opik,Positive
Tempat duduk non-smoking terlalu sedikit,Tempat duduk bebas rokok terlalu sedikit,duduk bebas rokok,Neutral
"Tempat kopi nya enak sih, kopi nya pas manis ga terlalu strong buat yg ga suka bngt kopi Pelayanan kak hafid 👍🏻","Tempat kopi nya enak sih, kopi nya pas manis ga terlalu strong buat yg ga suka bngt kopi Pelayanan kak hafid 👍🏻",kopi nya enak sih kopi nya pas manis strong suka banget kopi layan kak hafid,Positive
Coffe nya enak dan creamy,Kopi nya enak dan creamy,kopi nya enak creamy,Positive
hafid,hafid,hafid,Positive
"Kopinya enak Pelayanannnya bagus, ramah, tempatnya nyaman Hapid","Kopinya enak Pelayanannnya bagus, ramah, tempatnya nyaman Hapid",kopi enak pelayanannnya bagus ramah tempat nyaman hapid,Positive
tempat nya kozi pelayanan nya sangat sangat bagus dari ka fajar rate 5 poko nya,tempat nya kozi pelayanannya sangat sangat bagus dari ka fajar rate 5 poko nya,nya kozi layan bagus kak fajar rate pokok nya,Positive
pelayanannya bagus dan cepat dan service dari ka akew ramah,pelayanannya bagus dan cepat dan pelayanan dari ka akew ramah,layan bagus cepat layan kak akew ramah,Positive
"comfortable place, good service. Ojan service good cakep juga🥰","tempatnya nyaman, pelayanannya bagus. pelayanannya juga bagus cakep juga🥰",tempat nyaman layan bagus layan bagus cakep,Positive
"Lila Abong Ojol di paneuriken ,Orderan masuk itu langsung bikinin jangan nunggu driver Dateng baru di bikin dasar Loll....","Lila Abong Ojol di paneuriken ,Orderan masuk itu langsung bikinin jangan nunggu driver Dateng baru di bikin dasar Loll....",lila abong ojol paneuriken order masuk langsung bikin tunggu driver bikin dasar loll,Negative
bagus tempatnya kopi dan makanan nya jg enak,bagus tempatnya kopi dan makanannya jg enak,bagus tempat kopi makan enak,Positive
"Emg gak salah selalu rame, karna rasa suasana nya ajib","Emg gak salah selalu rame, karna rasa suasana nya ajib",salah rame suasana nya ajib,Positive
"Thanks makan dan minuman nya cepat enak juga, Pelayanan nya ramah terimakasih kak reyvaldo hehe bakal balik terus deh","Thanks makan dan minuman nya cepat enak juga, Pelayanan nya ramah terimakasih kak reyvaldo hehe bakal balik terus deh",thanks makan minum nya cepat enak layan nya ramah terimakasih kak reyvaldo hehe deh,Positive
"tempatnya keren, pelayanannya ramahh, minumannya aku saranin beli summer race beneran seger, makanannya enak jugaaa, lovee bangett🩷🩷","tempatnya keren, pelayanannya ramahh, minumannya aku saranin beli summer race beneran seger, makanannya enak jugaaa, lovee bangett🩷🩷",tempat keren layan ramahh minum saran beli summer race benar segar makan enak lovee banget,Positive
"pelayanannya ramah bangeet, tempatnya cozy bangeet enaak buat nongkrong ataupun nugass, makanannyaa enaakk minumannya jugaa seger","pelayanannya ramah bangeet, tempatnya nyaman bangeet enaak buat nongkrong ataupun nugass, makanannyaa enaakk minumannya jugaa seger",layan ramah banget tempat nyaman banget enaak nongkrong nugass makanannyaa enaakk minum segar,Positive
tempatnya enak bisa buat wfc. makanannya juga enakkkkk. minumannya enak harga terjangkau juga…. full ⭐️⭐️⭐️⭐️⭐️ for a AZZAM,tempatnya enak bisa buat wfc. makanannya juga enakkkkk. minumannya enak harga terjangkau juga…. penuh ⭐️⭐️⭐️⭐️⭐️ untuk AZZAM,tempat enak wfc makan enak minum enak harga jangkau penuh azzam,Positive
"Nice place, good food, friendly staff","Tempat yang bagus, makanan enak, staf yang ramah",bagus makan enak staf ramah,Positive
Best place to refresh your mind after work,Tempat terbaik untuk menyegarkan pikiran setelah bekerja,baik segar pikir,Positive
Tempatnya nyaman rekomen banget,Tempatnya nyaman rekomen banget,tempat nyaman rekomen banget,Positive
"Tempatnya nyaman,pelayanan baik,minumannya enak","Tempatnya nyaman,pelayanan baik,minumannya enak",tempat nyaman layan minum enak,Positive
"good service, best place, makanannya oke bgtt, kopsunya creamy abiz","pelayanan bagus, tempat terbaik, makanannya oke bgtt, kopsunya creamy abiz",layan bagus baik makan oke banget kopsunya creamy habis,Positive
"service nya mantap banget, tempatnya enak buatt wfc, pokonya best banget apalagi kopi susunya","pelayanannya mantap banget, tempatnya enak buatt wfc, pokonya best banget apalagi kopi susunya",layan mantap banget tempat enak buatt wfc pokok best banget kopi susu,Positive
"Open from 07.00 - 23.00 The place is good for work (wfc) or just hanging out. The ac is cold, the wifi is really fast, and the food is great. Not to mention the service is really good.I stayed from 08.30 until 16.30 and bought 2 food & drinks. For breakfast I ate the Big Breakfast (51k with tax) and Matcha Latte (33k with tax) the taste was good but the big breakfast was a little bit too salty for me (because I prefer more mild food). The Matcha Latte on the other hand was made to my taste, it's not too sweet with a hint of the matcha bitterness perfect!!🤌. For Lunch I ate the Mentai Karaage Bowl and Bliss Artisan Tea by TEMU (77k with tax & service), for the mentai bowl could be improved (the rice is too hard for my taste cause I like soft rice more, it would be perfect for a fried rice though also the karaage is a little more chewable). For the tea we could ask for it to be refilled with hot water one more time, the smell is sooo good! but because it has been seeped for too long and has a dried orange it became too bitter.","Buka dari jam 07.00 - 23.00 Tempatnya bagus buat kerja (wfc) atau sekedar nongkrong. AC-nya dingin, wifinya kenceng banget, makanannya juga enak. Belum lagi pelayanannya yang bagus banget. Saya kesini dari jam 08.30 sampai 16.30 dan beli 2 makanan & minuman. Untuk sarapan saya pesan Big Breakfast (51k termasuk pajak) dan Matcha Latte (33k termasuk pajak) rasanya enak tapi Big Breakfast-nya agak terlalu asin buat saya (karena saya lebih suka makanan yang lebih ringan). Matcha Latte-nya dibuat sesuai selera saya, tidak terlalu manis dengan sedikit rasa pahit matcha yang mantap!!🤌. Untuk makan siang, saya menyantap Mentai Karaage Bowl dan Bliss Artisan Tea buatan TEMU (77k termasuk pajak & layanan), untuk mentai bowl bisa ditingkatkan (nasinya terlalu keras untuk selera saya karena saya lebih suka nasi yang lembut, akan lebih cocok untuk nasi goreng meskipun karaagenya juga sedikit lebih mudah dikunyah). Untuk tehnya, kami bisa meminta untuk diisi ulang dengan air panas sekali lagi, aromanya sangat harum! tetapi karena sudah terlalu lama direndam dan ada jeruk kering, jadinya terlalu pahit.",buka jam tempat bagus kerja wfc dar nongkrong ac nya dingin wifinya kencang banget makan enak layan bagus banget kesini jam beli makan minum sarap pesan big breakfast pajak matcha latte pajak enak big breakfast nya asin suka makan ringan matcha latte nya sesuai selera manis pahit matcha mantap makan siang santap mentai karaage bowl bliss artisan tea buat temu pajak layan mentai bowl tingkat nasi keras selera suka nasi lembut cocok nasi goreng karaagenya mudah kunyah teh isi ulang air panas aroma harum rendam jeruk kering pahit,Positive
"Makanannya enak enak apalagi nasi sapi sambel hijau, daebakkkk.. Pelayanannya jg mantapp bgt, thx u ka Dhymass atas pelayanannya yg top markotop👍🏻👍🏻👍🏻","Makanannya enak enak apalagi nasi sapi sambel hijau, daebakkkk.. Pelayanannya jg mantapp bgt, thx u ka Dhymass atas pelayanannya yg top markotop👍🏻👍🏻👍🏻",makan enak enak nasi sapi sambel hijau daebakkkk layan mantap banget thx lu kak dhymass layan top markotop,Positive
"Thanks kaa putraaa , good view tempatnyaa enakk bangetttt","Thanks kaa putraaa , good view tempatnyaa enakk bangetttt",thanks kak putraaa good view tempatnyaa enakk banget,Positive
"Tempat nyaman, variasi makanan dan minuman juga lumayan. Harga terjangkau.","Tempatnya nyaman, variasi makanan dan minumannya juga lumayan. Harga terjangkau.",tempat nyaman variasi makan minum lumayan harga jangkau,Positive
lamaaaaaaaaaaaaaaaaaaaa..... pelayanannya.....,lamaaaaaaaaaaaaaaaaaaaaa..... pelayanannya.....,lamaaaaaaaaaaaaaaaaaaaaa layan,Negative
"Tempat enak, minuman enak tetapi ada 2-5 lalat didalam ruang indoor agak sedikit mengganggu","Tempatnya enak, minumannya enak tapi ada 2-5 lalat di dalam ruang indoor agak sedikit mengganggu",tempat enak minum enak lalat ruang indoor ganggu,Negative
"tempat ngopi nya nyaman makanan dan minumannya sangat worth it bgt wajib org luar Bandung kesini,barista dan waiters nya baik ramah the best,WAJIB KESINI😘😘😘*kak ojan","tempat ngopi nya nyaman makanan dan minumannya sangat worth it bgt wajib org luar bandung kesini,barista dan pramusaji nya baik ramah the best,WAJIB KESINI😘😘😘*kak ojan",ngopi nya nyaman makan minum worth banget wajib orang bandung kesini barista pramusaji nya ramah the best wajib kesini kak ojan,Positive
"makanan nya enak, kak ojan ramah banget","makanannya enak, kak ojan ramah banget",makan enak kak ojan ramah banget,Positive
makanan nya mantap service kak ozan joss,makanannya mantap pelayanannya kak ozan joss,makan mantap layan kak ozan joss,Positive
waiters nya ramah makanan dan minuman oke lah tempat nyaman cocok lah buat nongki dan kerjain tugas tugas,pelayannya ramah makanan dan minuman oke lah tempat nyaman cocok lah buat nongki dan kerjain tugas tugas,layan ramah makan minum oke nyaman cocok nongki kerjain tugas tugas,Positive
"Makanan nya enak wktu itu order nasi goreng seafood enak banget sih pas banget buat aku. Coffee nya jg enak banget best dehh, apalagi kak ojan baik banget sm ramah banget, best pokoknya wajib kesini orang2. Cocok banget buat anak motor nongki2 ❤️","Makanan nya enak wktu itu order nasi goreng seafood enak banget sih pas banget buat aku. Kopinya jg enak banget best dehh, apalagi kak ojan baik banget sm ramah banget, best pokoknya wajib kesini orang2. Cocok banget buat anak motor nongki2 ❤️",makan nya enak order nasi goreng seafood enak banget sih pas banget kopi enak banget best deh kak ojan banget ramah banget best pokok wajib kesini orang cocok banget anak motor nongki,Positive
Overoll makanan dan minuman nya best terus pelayanan nya ramah😍 “ojan”,Overoll makanan dan minumannya best terus pelayanannya ramah😍 “ojan”,overoll makan minum best layan ramah ojan,Positive
Pelayanan nya ramah gercep Thanks kak reyvaldo hehe,Pelayanan nya ramah gercep Terima kasih kak reyvaldo hehe,layan nya ramah gercep terima kasih kak reyvaldo hehe,Positive
all good tempat enak minum enak makan enak apalagi kalo gratis,all good tempat enak minum enak makan enak apalagi kalo gratis,all good enak minum enak makan enak kalo gratis,Positive
"Makanannya oke, tempatnya dan ambience nya pas untuk nongkrong dan service dari akew nice banget thankyou deu!","Makanannya oke, tempatnya dan suasananya pas untuk nongkrong dan pelayanan dari akew bagus banget terima kasih deu!",makan oke tempat suasana pas nongkrong layan akew bagus banget terima kasih deu,Positive
pelayannanya mantep full of service jadi ga bingung nyari tempat duduk krn diarahin banget worth itt maknannya jga enak enak penasaran sama tom yum mya sih cma stok nya lagi abis next harus bgt nyobain sih 👍,pelayannanya mantep full of service jadi ga bingung nyari tempat duduk krn diarahin banget worth itt maknannya jga enak enak penasaran sama tom yum mya sih cma stok nya lagi abis next harus bgt nyobain sih 👍,pelayannanya mantap full of service bingung cari duduk diarahin banget worth itt maknannya enak enak penasaran tom yum mya sih stok nya habis next banget coba sih,Positive
"Makanan enak dan servicenya ramah, terutama mas Akew.. 👍👍","Makanan enak dan pelayanannya ramah, terutama mas Akew.. 👍👍",makan enak layan ramah mas akew,Positive
Keren tempatnya bagus,Keren tempatnya bagus,keren tempat bagus,Positive
Carbonara nya recommended gurih nya ps sama yakult breeze nya segar🙌🙌🙌,Carbonara nya recomended gurih nya ps sama yakult semilir nya segar🙌🙌🙌,carbonara nya recomended gurih nya pas yakult milir nya segar,Positive
Tempatnya nyaman makananya enak...good bgt 👍👍,Tempatnya nyaman makananya enak...bagus bgt 👍👍,tempat nyaman makananya enak bagus banget,Positive
pelayanan yang sangat ramah dan baik serta makanan yang enak dan ditemani suasana yang cantik!,pelayanan yang sangat ramah dan baik serta makanan yang enak dan ditemani suasana yang cantik!,layan ramah makan enak tani suasana cantik,Positive
"Kalo bikin nasgor ga sanggup profesional lebih baik dihapus menunya, Kasian driver ojol yg ongkirnya cuma 5.000 nunggunya harus setengah jam.. Emang ga bisa lebih cepet ya ? Semua resto gobiz itu makanan tinggal ambil ato paling lama nunggu 10-15menit","Kalau bikin nasgor ga mampu profesional lebih baik dihapus menunya, Kasian driver ojol yg ongkirnya cuma 5.000 nunggunya harus setengah jam.. Emang ga bisa lebih cepat ya ? Semua resto gobiz itu makanan tinggal ambil ato paling lama nunggu 10-15menit",bikin nasgor profesional hapus menu kasihan driver ojol ongkirnya nunggunya jam cepat ya resto gobiz makan tinggal ambil tunggu menit,Negative
good service ojan,"Pelayanannya bagus, ojan",layan bagus ojan,Positive
"Pelayan a ojan baik, ramah, pokonyaaa the best banget dehhhh, sama untuk menu nya juga ramah di kantong","Pelayan a ojan baik, ramah, pokonyaaa the best banget dehhh, sama untuk menu nya juga ramah di kantong",layan a ojan ramah pokonyaaa the best banget deh menu nya ramah kantong,Positive
"Tmptnya nyman, makanan dan minumannya enak staffnya juga ramah"" terutama untuk kak ojan","Tmptnya nyman, makanan dan minumannya enak staffnya juga ramah"" terutama untuk kak ojan",tmptnya nyman makan minum enak staffnya ramah kak ojan,Positive
"tempatnya nyaman, minuman dan makanan nya jga enakkk, karyawannya juga ramah terutama kakk ojann👍🏻","tempatnya nyaman, minuman dan makanannya jga enakkk, karyawannya juga ramah terutama kakk ojann👍🏻",tempat nyaman minum makan enakkk karyawannya ramah kak ojann,Positive
thank u ka ojan for u’re best service..,terima kasih ka ojan atas layanan terbaikmu..,terima kasih kak ojan layan baik,Positive
"Tempatnya cozy bangett enak untuk nongkrong,makanannya juga enak banget pas dilidah,pelayanannya juga sangat ramah dan baik dari kak angga dan kak akeww,kopsunya juga sangat recomend banget.","Tempatnya nyaman banget enak buat nongkrong,makanannya juga enak banget pas dilidah,pelayanannya juga sangat ramah dan baik dari kak angga dan kak akeww,kopsunya juga sangat recomend banget.",tempat nyaman banget enak nongkrong makan enak banget pas lidah layan ramah kak angga kak akeww kopsunya recomend banget,Positive
suasana sama makanannya gooddd,suasana sama makanannya bagus,suasana makan bagus,Positive
"Suasana nya, makanan dan minumannya enak, pelayanan nya bagus👍🏽","Suasananya, makanan dan minumannya enak, pelayanannya bagus👍🏽",suasana makan minum enak layan bagus,Positive
"Mas Ojan baik dan ramah, pelayanan oke banget. yuk ngopi disini","Mas Ojan baik dan ramah, pelayanan oke banget. yuk ngopi disini",mas ojan ramah layan oke banget yuk ngopi,Positive
Tempatnya enak banget nyaman staff nya baik baik juga apalagi sama kak hadiii,Tempatnya enak banget nyaman stafnya baik baik juga apalagi sama kak hadiii,tempat enak banget nyaman staf kak hadiii,Positive
"Seru,enak dan nyaman...","Seru,enak dan nyaman...",seru enak nyaman,Positive
"Tempatnya enak cuma utk disore hari doang kalo siang panas, kurangnya sih cuma tidak ada qr utk order atau setidaknya buku menu di qr","Tempatnya enak cuma utk disore hari doang kalo siang panas, kurang sih cuma tidak ada qr utk order atau setidaknya buku menu di qr",tempat enak sore doang kalo siang panas sih qr order buku menu qr,Positive
"Untuk makanan dan minuman okee sih, tempat juga nyaman, untuk pelayanan nya ramah dan gercep jugaa:)","Untuk makanan dan minuman okee sih, tempatnya juga nyaman, untuk pelayanannya ramah dan gercep jugaa :)",makan minum okee sih tempat nyaman layan ramah gercep,Positive
comfort place buat yg mau ke bandunggggg‼️,tempat nyaman buat yg mau ke bandunggggg‼️,nyaman bandunggggg,Positive
comfort place buat yang mau ke bandung! biscoff nya best!,tempat nyaman buat yang mau ke bandung! biscoffnya yang terbaik!,nyaman bandung biscoffnya baik,Positive
"Great place to hang out and chit chat with your friends, the ambience was nice, service might be improved to be faster, nicer and more helpful. Overall, its good. So teenage-y, so comfy and modern👍🏻","Tempat yang bagus untuk nongkrong dan ngobrol dengan teman-teman, suasananya bagus, layanannya mungkin bisa ditingkatkan agar lebih cepat, lebih ramah, dan lebih membantu. Secara keseluruhan, tempatnya bagus. Sangat cocok untuk remaja, sangat nyaman, dan modern👍🏻",bagus nongkrong obrol teman teman suasana bagus layan tingkat cepat ramah bantu tempat bagus cocok remaja nyaman modern,Positive
Tempatnya nyempil tp cozy enough. Coffee was good. Croissants were great. Pizza was bad. Sorry.,Tempatnya nyaman tapi cukup nyaman. Kopinya enak. Croissantnya enak. Pizzanya jelek. Maaf.,tempat nyaman nyaman kopi enak croissantnya enak pizzanya jelek maaf,Negative
"tempatt nya superrr pw bangett, tiapp bingung nyari tempat nongkrong ga bosen kesini, biscoff nyaaa enak poll cocok buat aku yang anaknya non coffe","tempatt nya superrr pw bangett, tiapp bingung nyari tempat nongkrong ga bosen kesini, biscoff nyaaa enak poll cocok buat aku yang anaknya non coffe",tempatt nya superrr pw banget tiapp bingung cari nongkrong bosan kesini biscoff nya enak poll cocok anak non coffe,Positive
"Buat pelayan yang namanya ojan, dia ramah banget Ganteng juga!","Buat pelayan yang namanya ojan, dia ramah banget Ganteng juga!",layan nama ojan ramah banget ganteng,Positive
Suka banget kaka kakanya ramah banget,Suka banget kaka kakanya ramah banget,suka banget kakak kakak ramah banget,Positive
Pelayanan baik menawarkan es cream.. Makasih ya mbak mbak nya,Pelayanan baik menawarkan es krim.. Makasih ya mbak mbak nya,layan tawar es krim terima kasih ya mbak mbak nya,Neutral
Tempat nya chill banget,Tempatnya keren banget,tempat keren banget,Positive
"Suasana nya cozy nyaman bgt, kopinya enak harum manisnya pas.","Suasananya nyaman nyaman bgt, kopinya enak harum manisnya pas.",suasana nyaman nyaman banget kopi enak harum manis pas,Positive
"tempatnya enak nyaman bersih, pelayanannya baik apalagi kak ibrahim super baik dan ramah","tempatnya enak nyaman bersih, pelayanannya baik apalagi kak ibrahim super baik dan ramah",tempat enak nyaman bersih layan kak ibrahim super ramah,Positive
cozy banget buat nongki veryyy recommend deh de.u coffe,nyaman banget buat nongki veryyy recomended deh de.u coffe,nyaman banget nongki veryyy recomended deh deh lu coffe,Positive
tempat buat nongkrong worth it dan pusat kota juga,tempat buat nongkrong worth it dan pusat kota juga,nongkrong worth pusat kota,Positive
Cozy abiss🙌🏻,Nyaman abiss🙌🏻,nyaman habis,Positive
Tempat nya bagus cocok buat nongkrong apalagi buat anak muda pelayanan nya ramah apalagi a ojan mantap pokoknya,Tempatnya bagus cocok buat nongkrong apalagi buat anak muda pelayanannya ramah apalagi ojan mantap pokoknya,tempat bagus cocok nongkrong anak muda layan ramah ojan mantap pokok,Positive
